Prod_ID,Prod_Cat,User_ID,User_Province,Event,Clicks,Wishlist
Z9XKx47xQYoQlq0H0E0Q,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
ZQR7OH1Q3EYvCctRBgXU,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Zkw2rHYaRdoD3iOncDtI,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
ZuZLZYXJcE4OzhvC8JtH,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
a47FliX7pqrzD9d74wl3,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
aFLhm9yinjUXMDKv0Qtn,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
aTCbDNJnzYccWH0wNEVL,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
azvKUhNd3vvZTS37bsIv,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
b7A3yaNwG7dSE2SgQOPV,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
bFiv9YoMuauGTGuV5xpx,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
bG3ClDtAuqJ0iqKpPwOX,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
bGh11OlkT0xUgU1o8uP6,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
bRYZr3Iww3seYuw5EAf8,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
bUgtiNZAbEU4aqlKOuKC,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
biqaljjE0SxU3KyA47BJ,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
bz484lTvvSl6rrl2PURL,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
c6UC0PuGlTiXUYvlxocX,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
cMgrWSLgqY4Y5eG5XvU1,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
cQfNBWKwZwgAz4qgiXpt,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
cdifJQGRVt4CgfNkFI7U,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
cdlpeTXZWmhh86A9Px6E,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
cpF6hYfRJ4ejcEkOHH33,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
cupyrpFoTGGwxu8fbUEX,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
dRpwCpu0hEVPWzREh30F,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
dhgJPsQuprmiAzVnVhdD,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
e5W5azRyuv5Ve4gvu6BP,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
eQP4ER85x2hZdSILacwx,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
eqbzOjTnWK7nY8AGlQ4W,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
f7B55F4Tlu7cMQhou0VR,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
fD0d9FtqdY07my44fQI4,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
